game_id,home_wins,odds,amount
0021400990,L,-110,1
0021400991,W,-110,1
0021400992,W,-110,1
0021400993,W,-110,1
0021400994,L,-110,1
0021400995,W,-110,1
0021400996,W,-110,1
0021400998,L,-110,1
0021401000,W,-110,1
0021401001,W,-110,1
0021401002,W,-110,1
0021401003,W,-110,1
0021401004,L,-110,1
0021401005,L,-110,1
0021401006,W,-110,1
0021401007,W,-110,1
0021401008,W,-110,1
0021401009,W,-110,1
0021401010,L,-110,1
0021401011,L,-110,1
0021401012,W,-110,1
0021401013,L,-110,1
0021401014,W,-110,1
0021401017,W,-110,1
0021401018,W,-110,1
0021401020,W,-110,1
0021401021,W,-110,1
0021401022,L,-110,1
0021401023,L,-110,1
0021401024,W,-110,1
0021401025,W,-110,1
0021401026,W,-110,1
0021401027,L,-110,1
0021401028,W,-110,1
0021401029,W,-110,1
0021401030,L,-110,1
0021401031,W,-110,1
0021401032,W,-110,1
0021401033,L,-110,1
0021401034,L,-110,1
0021401035,W,-110,1
0021401037,W,-110,1
0021401038,W,-110,1
0021401039,L,-110,1
0021401040,W,-110,1
0021401043,L,-110,1
0021401044,L,-110,1
0021401045,W,-110,1
0021401046,W,-110,1
0021401048,W,-110,1
0021401049,L,-110,1
0021401050,L,-110,1
0021401051,W,-110,1
0021401054,W,-110,1
0021401055,W,-110,1
0021401056,L,-110,1
0021401057,W,-110,1
0021401058,L,-110,1
0021401059,L,-110,1
0021401060,L,-110,1
0021401061,L,-110,1
0021401062,L,-110,1
0021401063,L,-110,1
0021401064,L,-110,1
0021401065,L,-110,1
0021401066,L,-110,1
0021401068,L,-110,1
0021401069,L,-110,1
0021401070,W,-110,1
0021401071,W,-110,1
0021401072,L,-110,1
0021401073,W,-110,1
0021401074,L,-110,1
0021401075,L,-110,1
0021401077,W,-110,1
0021401079,W,-110,1
0021401080,L,-110,1
0021401082,L,-110,1
0021401084,L,-110,1
0021401085,W,-110,1
0021401086,L,-110,1
0021401087,W,-110,1
0021401088,W,-110,1
0021401089,L,-110,1
0021401090,W,-110,1
0021401091,L,-110,1
0021401092,L,-110,1
0021401096,L,-110,1
0021401097,L,-110,1
0021401098,W,-110,1
0021401099,W,-110,1
0021401100,L,-110,1
0021401101,L,-110,1
0021401102,L,-110,1
0021401103,W,-110,1
0021401104,W,-110,1
0021401106,L,-110,1
0021401107,W,-110,1
0021401109,W,-110,1
0021401110,L,-110,1
0021401111,L,-110,1
0021401112,W,-110,1
0021401113,W,-110,1
0021401115,W,-110,1
0021401116,W,-110,1
0021401118,W,-110,1
0021401119,L,-110,1
0021401120,W,-110,1
0021401121,W,-110,1
0021401122,L,-110,1
0021401123,L,-110,1
0021401124,W,-110,1
0021401125,L,-110,1
0021401127,W,-110,1
0021401129,L,-110,1
0021401131,W,-110,1
0021401132,W,-110,1
0021401133,L,-110,1
0021401134,W,-110,1
0021401135,W,-110,1
0021401137,W,-110,1
0021401138,W,-110,1
0021401139,W,-110,1
0021401140,L,-110,1
0021401141,L,-110,1
0021401142,L,-110,1
0021401143,L,-110,1
0021401146,L,-110,1
0021401147,L,-110,1
0021401148,L,-110,1
0021401150,W,-110,1
0021401151,W,-110,1
0021401152,W,-110,1
0021401155,L,-110,1
0021401156,W,-110,1
0021401157,L,-110,1
0021401160,L,-110,1
0021401161,W,-110,1
0021401163,W,-110,1
0021401164,W,-110,1
0021401166,W,-110,1
0021401167,W,-110,1
0021401168,W,-110,1
0021401171,L,-110,1
0021401173,L,-110,1
0021401174,W,-110,1
0021401175,L,-110,1
0021401176,L,-110,1
0021401178,L,-110,1
0021401180,L,-110,1
0021401181,W,-110,1
0021401184,L,-110,1
0021401185,L,-110,1
0021401187,L,-110,1
0021401188,W,-110,1
0021401189,L,-110,1
0021401190,W,-110,1
0021401191,W,-110,1
0021401193,W,-110,1
0021401194,W,-110,1
0021401195,L,-110,1
0021401198,L,-110,1
0021401199,L,-110,1
0021401201,L,-110,1
0021401202,W,-110,1
0021401203,W,-110,1
0021401204,L,-110,1
0021401205,L,-110,1
0021401206,L,-110,1
0021401207,W,-110,1
0021401209,W,-110,1
0021401210,W,-110,1
0021401212,W,-110,1
0021401214,W,-110,1
0021401217,L,-110,1
0021401218,W,-110,1
0021401219,W,-110,1
0021401220,L,-110,1
0021401221,W,-110,1
0021401222,L,-110,1
0021401223,W,-110,1
0021401224,W,-110,1
0021401225,L,-110,1
0021401226,L,-110,1
0021401227,L,-110,1
0021401228,L,-110,1
