Date,Season,player_size,atb3_pps,c3_pps,mid_pps,ra_pps,paint_pps
36950,2000,Small,1.111604558,1.185597708,0.921058875,1.620521241,1.105145263
36950,2000,All,1.096111429,1.184790614,0.899114615,1.614669557,1.087499016
36951,2000,Big,1.007669582,1.181847512,0.859795319,1.608628782,1.072261021
36951,2000,Small,1.109464579,1.189267175,0.921557405,1.620584657,1.1030781
36951,2000,All,1.093927098,1.188230983,0.899391344,1.614781193,1.087084743
36952,2000,Big,1.006311545,1.177191857,0.859749493,1.608612472,1.072516427
36952,2000,Small,1.109127741,1.186913756,0.921746273,1.619514983,1.10341724
36952,2000,All,1.093400552,1.185550361,0.899523172,1.614225333,1.087395358
36953,2000,Big,1.006540009,1.179799604,0.860759748,1.607700931,1.072437953
36953,2000,Small,1.109202474,1.185560832,0.921907973,1.619594015,1.104080618
36953,2000,All,1.093506369,1.184756427,0.900014901,1.613824366,1.087701935
36954,2000,Big,1.008203435,1.179831846,0.86174902,1.607535958,1.074407785
