player_id,player_name
202332,cole aldrich
202333,xavier henry
202334,ed davis
202335,patrick patterson
202336,larry sanders
202337,luke babbitt
202338,kevin seraphin
202339,eric bledsoe
202340,avery bradley
202341,james anderson
202342,craig brackins
202343,elliot williams
202344,trevor booker
202345,damion james
202346,dominique jones
202347,quincy pondexter
202348,jordan crawford
202349,greivis vasquez
202350,daniel orton
202351,lazar hayward
202354,dexter pittman
202355,hassan whiteside
202356,armon johnson
202359,darington hobson
202360,andy rautins
202361,landry fields
202362,lance stephenson
202363,jarvis varnado
202365,devin ebanks
202366,jerome jordan
202371,gani lawal
202374,solomon alabi
202376,luke harangody
202377,pape sy
202378,willie warren
202379,jeremy evans
202380,hamady ndiaye
202382,derrick caracter
202385,ryan reid
202386,ben uzoh
202388,donald sloan
202389,timofey mozgov
202390,gary neal
202391,jeremy lin
202392,marqus blakely
202395,sherron collins
202396,samardo samuels
202397,ish smith
202399,jeff adrien
202406,jerome dyson
202407,elijah millsap
202408,marcus cousin
202412,manny harris
202419,chris johnson
202458,justin dentmon
202498,lance thomas
202536,jerry smith
202545,luke zeller
202620,arinze onuaku
202622,courtney fortson
202681,kyrie irving
202682,derrick williams
202683,enes kanter
202684,tristan thompson
202685,jonas valanciunas
202686,jan vesely
202687,bismack biyombo
202688,brandon knight
202689,kemba walker
202690,jimmer fredette
202691,klay thompson
202692,alec burks
202693,markieff morris
202694,marcus morris
202695,kawhi leonard
202696,nikola vucevic
202697,iman shumpert
202698,chris singleton
202699,tobias harris
202700,donatas motiejunas
202701,nolan smith
202702,kenneth faried
202703,nikola mirotic
202704,reggie jackson
202705,marshon brooks
202706,jordan hamilton
202707,jajuan johnson
202708,norris cole
202709,cory joseph
202710,jimmy butler
202711,bojan bogdanovic
202712,justin harper
202713,kyle singler
202714,shelvin mack
202715,tyler honeycutt
202716,jordan williams
202717,trey thompkins
202718,chandler parsons
202719,jeremy tyler
202720,jon leuer
202721,darius morris
202723,malcolm lee
202724,charles jenkins
202725,josh harrellson
202726,andrew goudelock
202727,travis leslie
202728,keith benson
202729,josh selby
202730,lavoy allen
202731,vernon macklin
202732,deandre liggins
202734,e'twaun moore
202738,isaiah thomas
202775,edwin ubiles
202779,dwight buycks
202809,cory higgins
202810,d.j. kennedy
202814,mychel thompson
202862,dennis horner
202874,chris wright
202880,jeff foote
202918,xavier silas
202933,julyan stone
202951,jeremy pargo
202952,malcolm thomas
202962,greg smith
202970,gustavo ayon
203006,josh akognon
203076,anthony davis
203077,michael kidd-gilchrist
203078,bradley beal
203079,dion waiters
203080,thomas robinson
203081,damian lillard
203082,terrence ross
203083,andre drummond
203084,harrison barnes
203085,austin rivers
203086,meyers leonard
203087,jeremy lamb
203088,kendall marshall
203089,john henson
203090,maurice harkless
203091,royce white
203092,tyler zeller
203093,terrence jones
203094,andrew nicholson
203095,evan fournier
203096,jared sullinger
203097,fab melo
203098,john jenkins
203099,jared cunningham
203100,tony wroten
203101,miles plumlee
203102,arnett moultrie
203103,perry jones
203104,marquis teague
203105,festus ezeli
203106,jeff taylor
203108,bernard james
203109,jae crowder
203110,draymond green
203111,orlando johnson
203112,quincy acy
203113,quincy miller
203114,khris middleton
203115,will barton
203116,tyshawn taylor
203117,doron lamb
203118,mike scott
203119,kim english
203120,justin hamilton
203121,darius miller
203122,kevin murphy
203123,kostas papanikolaou
203124,kyle o'quinn
203126,kris joseph
203128,furkan aldemir
203129,tornike shengelia
203130,darius johnson-odom
203133,robbie hummel
203135,robert sacre
203136,ognjen kuzmic
203138,hollis thompson
203139,viacheslav kravtsov
203141,mirza teletovic
203142,chris copeland
203143,pablo prigioni
203144,alexey shved
203145,kent bazemore
203146,maalik wayns
203147,chris smith
203148,brian roberts
203156,henry sims
203158,kevin jones
203159,scott machado
203162,ben hansbrough
203183,tony mitchell
203186,willie reed
203187,chris johnson
203197,diante garrett
203199,dequan jones
203200,justin holiday
203203,chris wright
203210,jamychal green
203254,jamychal green
203263,james nunnally
203268,jorge gutierrez
203296,quincy miller
203315,toure murry
203317,tim ohlbrecht
203318,glen rice jr.
203382,aron baynes
203457,nerlens noel
203458,alex len
203459,allen crabbe
203460,andre roberson
203461,anthony bennett
203462,archie goodwin
203463,ben mclemore
203467,carrick felix
203468,cj mccollum
203469,cody zeller
203471,dennis schroder
203473,dewayne dedmon
203474,dj stephens
203475,erick green
203476,gorgui dieng
203477,isaiah canaan
203479,jamaal franklin
203480,james southerland
203481,jeff withey
203482,kelly olynyk
203484,kentavious caldwell-pope
203485,lorenzo brown
203486,mason plumlee
203487,michael carter-williams
203488,mike muscala
203489,nate wolters
203490,otto porter
203491,peyton siva
203492,ray mccallum
203493,reggie bullock
203495,ricky ledo
203496,robert covington
203497,rudy gobert
203498,shabazz muhammad
203499,shane larkin
203500,steven adams
203501,tim hardaway jr.
203502,tony mitchell
203503,tony snell
203504,trey burke
203505,vander blue
203506,victor oladipo
203507,giannis antetokounmpo
203508,sergey karasev
203511,grant jerrett
